Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,random,sr no
34554,0,1,43,,1,6,2,0,5,2,2,0,3,6,0,0,,0,0,0,3,11,0,1668,93
85693,0,1,59,,172,183,185,132,111,2,9,5,11,5,0,0,,0,0,0,3,11,0,1570,94
65846,0,0,68,,81,276,80,40,81,1,6,3,6,4,0,0,,0,0,0,3,11,0,408,95
87195,0,0,35,,76,690,50,26,38,1,3,11,5,1,0,0,,0,0,0,3,11,1,468,96
24594,1,0,94,,3,6,10,0,9,1,1,0,3,5,0,0,,0,0,0,3,11,0,682,97
49096,1,1,15,,1,32,2,1,7,4,4,1,4,7,0,0,,0,0,0,3,11,0,1215,98
52413,0,2,56,,106,271,75,98,65,4,6,4,12,6,0,0,,0,0,0,3,11,0,1776,99
38557,1,0,17,,3,31,4,4,27,2,3,1,3,7,0,0,,0,0,0,3,11,0,357,100
89058,0,0,18,,194,106,31,22,43,1,5,4,4,2,0,0,,0,0,0,3,11,0,1986,101
77298,0,1,46,,115,292,23,35,79,1,6,6,11,3,0,0,,0,0,0,3,11,0,1278,102
68126,0,0,40,,17,311,23,51,86,1,7,4,5,9,0,1,,0,0,0,3,11,1,533,103
57288,0,1,27,,0,21,0,0,60,3,8,1,8,6,0,1,0,,0,0,3,11,0,1006,104
86037,0,0,95,490,,125,29,20,22,1,6,7,11,3,0,1,1,,0,0,3,11,1,894,105
43974,1,0,19,378,,101,0,0,72,5,6,4,6,7,0,0,0,,0,0,3,11,0,1751,106
50785,1,1,27,64,,21,0,1,27,2,2,1,3,6,0,0,0,,0,0,3,11,0,1310,107
90765,0,0,25,547,,812,151,82,33,0,4,6,5,1,0,0,1,,0,0,3,11,0,643,108
36550,1,0,74,47,,94,123,103,120,5,9,1,5,9,0,0,0,,0,0,3,11,0,1718,109
30753,1,1,85,12,,25,0,9,30,2,1,1,3,5,0,0,0,,0,0,3,11,0,216,110
21918,1,0,37,1,,7,11,5,3,2,2,0,3,6,0,0,0,,0,0,3,11,0,2151,111
56129,0,1,65,320,,133,39,72,48,4,6,2,10,4,0,0,0,,0,0,3,11,0,625,112
32557,1,0,13,34,,29,0,4,10,3,2,1,3,5,0,0,0,,0,0,3,11,1,1934,113
19510,2,0,63,9,,7,3,4,7,2,1,0,3,7,0,0,0,,0,0,3,11,0,1755,114
30992,1,0,83,17,,14,7,3,2,1,1,0,3,7,0,0,0,,0,0,3,11,0,944,115
101970,0,0,69,722,,102,44,72,168,0,6,8,13,2,0,1,1,,0,0,3,11,1,1422,116
71488,0,0,87,162,,124,40,28,172,2,3,4,7,1,0,0,0,,0,0,3,11,0,1405,117
79607,0,0,37,450,,951,173,0,216,1,3,6,6,1,0,0,0,,0,0,3,11,1,1120,118
54348,1,1,51,70,,16,0,0,4,2,2,0,4,6,0,0,0,,0,0,3,11,0,1339,119
77376,1,1,72,492,,110,16,12,12,4,6,3,10,4,0,0,0,,0,0,3,11,0,1613,120
62998,0,1,10,120,,73,65,89,58,5,5,4,5,5,0,0,0,,0,0,3,11,0,808,121
61331,1,1,42,534,5,,0,5,41,5,11,1,6,8,0,0,0,,0,0,3,11,0,1703,122
73448,0,0,10,236,106,,23,41,130,1,7,2,9,4,0,0,0,,0,0,3,11,0,2016,123
41551,1,1,51,220,0,,3,0,23,5,5,1,5,8,0,0,0,,0,0,3,11,0,1738,124
62981,0,0,21,796,14,,38,44,0,1,4,5,13,3,0,1,0,,0,0,3,11,0,1136,125
9548,1,0,31,0,1,,10,6,9,2,1,0,3,8,0,0,0,,0,0,3,11,0,2142,126
33762,2,1,61,53,1,,2,0,16,3,2,2,2,8,0,0,0,,0,0,3,11,0,277,127
35860,1,1,37,15,0,,4,2,20,2,1,1,2,5,1,0,0,,0,0,3,11,1,1164,128
36921,1,1,74,17,1,,3,1,4,2,2,0,3,7,0,0,0,,0,0,3,11,0,1375,129
92859,0,0,46,962,61,,52,61,20,1,5,4,12,2,0,0,0,,0,0,3,11,0,587,130
65104,0,1,4,738,0,,13,20,50,2,3,5,7,7,0,0,0,,0,0,3,11,1,2002,131
86111,0,0,73,399,28,,36,40,126,1,5,7,10,2,0,0,0,,0,0,3,11,0,1159,132
68352,0,1,47,614,16,,43,33,33,3,8,5,9,6,0,0,0,,0,0,3,11,0,2123,133
41883,1,0,13,32,34,,73,16,116,3,4,2,3,7,0,0,0,0,,0,3,11,0,1765,134
59809,0,2,36,598,16,,32,41,49,3,3,3,6,8,0,0,0,0,,0,3,11,0,428,135
23957,1,0,47,2,1,,20,11,16,1,2,0,3,6,0,0,0,0,,0,3,11,1,66,136
38547,1,0,49,6,1,,0,1,4,1,1,0,2,8,0,0,0,0,,1,3,11,0,1749,137
35688,2,1,94,73,3,,12,1,32,7,4,1,4,8,0,0,0,0,,0,3,11,0,449,138
49605,0,0,65,42,16,,12,20,8,1,2,1,4,3,0,0,0,0,,0,3,11,0,916,139
59354,0,2,59,295,21,,39,13,13,1,4,4,7,3,0,0,0,0,,0,3,11,0,954,140
65747,0,1,96,346,17,,23,13,13,4,8,1,6,6,0,1,0,0,,0,3,11,0,1568,141
46344,0,1,28,233,20,,8,20,91,4,7,1,5,7,0,0,0,0,,0,3,11,0,1699,142
34176,1,0,12,5,7,,19,14,20,4,3,0,4,6,0,0,0,0,,0,3,11,0,1490,143
61010,0,1,57,888,0,,0,0,76,2,8,5,11,5,0,0,0,0,,0,3,11,0,1766,144
69372,0,0,10,997,26,,34,13,42,1,10,4,6,4,0,1,1,0,,0,3,11,1,1273,145
49967,0,1,4,212,6,,4,12,3,3,6,1,5,7,0,0,0,0,,0,3,11,0,1679,146
60199,1,2,49,8,1,,2,0,0,1,0,0,3,4,0,0,0,0,,0,3,11,0,1404,147
55375,0,1,3,42,11,,10,28,14,1,1,1,6,2,0,0,0,0,,0,3,11,0,2083,148
80317,0,0,64,536,11,,149,91,57,1,3,4,10,1,0,0,0,0,,0,3,11,0,1316,149
30523,2,1,0,5,0,,0,0,5,1,1,0,2,7,0,0,0,0,,0,3,11,0,136,150
70356,0,0,20,1349,16,,43,16,33,2,10,6,9,6,0,0,0,0,,0,3,11,0,1846,151
23228,1,0,91,53,3,,7,4,5,4,3,0,4,8,0,0,0,0,,0,3,11,0,211,152
74165,0,0,9,1001,12,,16,12,12,1,5,4,10,2,0,0,0,0,,0,3,11,0,215,153
43482,2,1,83,18,1,,6,3,28,3,2,0,4,6,0,0,0,0,,0,3,11,0,418,154
,0,0,27,125,16,98,,21,27,1,6,7,4,3,1,0,0,0,,0,3,11,0,404,155
,0,0,63,212,5,33,,0,2,1,3,2,6,4,0,1,0,0,,0,3,11,0,1679,156
,0,0,46,277,162,305,,76,124,1,3,4,7,1,0,0,0,0,,0,3,11,0,618,157
,1,1,84,15,10,19,,17,20,3,2,1,3,5,0,0,0,0,,0,3,11,0,1937,158
,1,1,58,7,3,10,,1,7,2,1,0,3,7,0,0,0,0,,0,3,11,0,507,159
,1,0,78,12,4,6,,8,16,2,2,0,3,8,0,0,0,0,,0,3,11,0,1625,160
,2,0,4,85,7,24,,3,27,1,3,1,3,6,0,0,0,0,0,,3,11,0,913,161
,1,1,17,81,0,6,,0,6,2,2,1,3,5,0,0,0,0,0,,3,11,0,1916,162
,0,1,77,59,0,12,,0,48,1,2,2,2,4,1,0,0,0,0,,3,11,0,937,163
,0,1,56,1149,71,449,,71,26,1,11,8,8,5,0,0,0,0,0,,3,11,0,2019,164
,0,0,79,847,66,119,,89,111,1,9,10,5,4,0,1,0,1,0,,3,11,1,96,165
,1,1,90,29,0,14,,0,2,2,2,0,3,7,0,0,0,0,0,,3,11,0,1375,166
,2,1,96,2,0,5,,0,1,1,0,0,3,2,0,0,0,0,0,,3,11,0,534,167
,0,0,44,207,26,447,,0,223,1,5,7,12,2,0,0,0,1,0,,3,11,0,828,168
,0,1,81,152,3,22,,5,7,1,4,1,4,5,0,0,0,0,0,,3,11,0,1097,169
,1,0,77,12,11,10,,12,9,3,2,1,3,6,0,0,0,0,0,,3,11,0,47,170
,0,0,21,620,26,195,,17,141,1,6,4,13,2,0,0,0,0,0,,3,11,0,1829,171
,1,0,16,47,1,6,,0,12,1,1,1,3,6,0,0,0,0,0,,3,11,0,1027,172
,0,0,80,1,9,7,,14,10,1,2,0,3,6,0,0,0,0,0,,3,11,0,1999,173
,1,0,45,10,1,18,,4,7,1,1,1,2,9,0,0,0,0,0,,3,11,0,836,174
,0,1,63,35,0,2,,0,2,2,1,0,4,5,0,0,0,0,0,,3,11,0,1966,175
,0,1,34,356,0,107,,9,117,2,7,1,8,5,0,0,0,0,0,,3,11,0,5,176
,0,0,14,783,30,537,,76,15,1,4,10,9,2,0,0,0,0,0,,3,11,0,513,177
,1,1,13,42,1,18,,0,4,2,2,0,3,7,0,0,0,0,0,,3,11,0,2057,178
,1,0,52,1,4,10,,0,36,1,1,1,2,6,1,0,0,0,0,,3,11,0,1180,179
,0,0,98,466,22,432,,113,102,1,8,7,12,3,0,0,0,0,0,,3,11,0,2067,180
,1,0,93,23,3,21,,19,22,2,3,0,3,8,0,0,0,0,0,,3,11,0,1148,181
,1,1,38,235,6,45,,9,12,4,5,1,6,6,0,0,0,0,0,,3,11,0,1429,182
,1,1,24,10,0,10,,1,7,2,1,1,2,8,0,0,0,0,0,,3,11,0,573,183
,0,0,80,656,16,106,,16,8,1,7,3,12,3,0,0,0,0,0,,3,11,0,1278,184
,0,0,82,519,17,813,,173,51,1,4,6,6,2,0,0,1,0,0,,3,11,0,1626,185
,0,0,20,344,189,482,,33,172,1,5,6,5,2,0,0,0,0,0,,3,11,0,109,186
,1,1,81,96,1,79,,1,79,6,5,1,3,8,1,0,0,0,0,,3,11,1,262,187
,0,1,50,448,4,34,6,,39,3,8,1,7,5,0,1,0,0,0,,3,11,0,942,188
,0,0,60,265,138,553,224,,92,1,4,4,9,1,0,0,0,0,0,,3,11,0,167,189
,0,1,63,587,43,337,42,,54,3,11,6,9,6,0,0,0,0,0,,3,11,0,778,190
,0,0,54,763,29,138,76,,58,0,7,9,10,4,0,1,1,1,0,,3,11,1,675,191
,1,1,72,22,0,13,0,,3,2,1,0,3,7,0,0,0,0,0,,3,11,0,1075,192
,0,0,5,6,4,1,7,,15,1,0,1,2,6,1,0,0,0,0,,3,11,1,1151,193
,1,0,88,7,6,13,7,,14,1,1,0,3,9,1,0,0,0,0,,3,11,0,897,194
,1,1,50,81,18,113,47,,21,6,4,2,5,6,0,0,0,0,0,,3,11,0,1260,195
44794,,1,99,54,0,7,0,,4,1,2,0,3,6,0,0,0,0,0,,3,11,0,1613,196
64497,,1,17,1170,48,320,42,,192,5,11,4,9,8,1,0,0,0,0,,3,11,1,472,197
46097,,1,11,72,24,68,65,,8,5,3,1,6,4,0,0,0,0,0,,3,11,0,1613,198
77972,,0,18,613,22,319,33,,12,1,4,6,9,1,0,0,0,0,0,,3,11,0,58,199
44377,,1,70,224,0,30,0,,10,8,5,1,5,8,0,0,0,0,0,0,,11,0,464,200
46014,,1,21,410,0,59,19,,44,10,7,1,8,7,0,0,0,0,0,0,,11,0,1665,201
70951,,0,66,239,10,554,254,,54,1,3,4,9,1,0,0,0,0,0,0,,11,0,2109,202
41443,,0,79,171,7,171,25,,89,6,8,1,5,8,0,0,0,0,0,0,,11,0,366,203
52195,,1,2,12,0,4,0,,1,1,1,0,2,8,0,0,0,0,0,0,,11,0,1991,204
83790,,0,81,1076,16,417,42,,16,1,8,10,6,3,0,1,1,0,0,0,,11,0,976,205
44551,,1,24,182,4,33,0,,66,2,4,1,5,7,0,0,0,0,0,0,,11,0,141,206
69508,,0,48,824,32,162,42,,43,2,11,4,11,6,0,0,0,0,0,0,,11,0,760,207
45204,,0,93,30,11,25,29,,18,1,1,1,4,3,0,0,0,0,0,0,,11,0,2121,208
72460,,0,56,377,10,540,80,,10,1,3,5,7,1,0,0,0,0,0,0,,11,0,1426,209
77622,,2,3,520,7,154,19,,14,2,6,3,11,3,0,0,0,0,0,0,,11,0,1982,210
30732,,0,44,155,1,25,0,,3,4,4,1,4,8,0,0,0,0,0,0,,11,0,555,211
63887,,1,38,897,23,207,15,,92,5,9,6,12,6,0,0,0,0,0,0,,11,0,2123,212
42011,,0,46,131,0,16,2,,39,4,3,1,4,8,0,0,0,0,0,0,,11,0,1504,213
51369,,1,84,297,7,79,0,,182,2,8,2,4,8,0,0,0,0,0,0,,11,0,1132,214
51537,,1,27,787,20,204,0,,92,3,2,2,11,8,0,0,0,0,0,0,,11,0,2172,215
79930,,0,72,792,86,740,67,,17,1,3,5,8,2,0,0,0,0,0,0,,11,0,1352,216
34320,,0,66,4,1,9,3,,0,1,1,0,2,8,0,0,0,0,0,0,,11,0,2000,217
37070,,1,30,231,7,137,4,,39,9,5,1,8,7,0,0,0,0,0,0,,11,1,1093,218
81975,,1,2,983,76,184,180,138,,1,6,3,4,7,0,0,1,0,0,0,,11,0,678,219
38590,,0,65,3,1,8,4,3,,1,1,0,2,8,0,0,0,0,0,0,,11,0,1383,220
15033,,0,37,0,4,5,6,0,,1,1,0,3,3,0,0,0,0,0,0,,11,0,544,221
62745,,1,89,562,21,464,28,10,,3,7,8,11,5,0,0,0,0,0,0,,11,0,1268,222
22212,,0,49,5,9,20,6,8,,2,2,0,4,6,0,0,0,0,0,0,,11,0,1864,223
23661,,0,46,18,0,4,0,0,,1,1,0,3,7,0,0,0,0,0,0,,11,0,858,224
79761,0,,32,415,5,124,15,35,,1,5,2,11,3,0,0,0,0,0,0,,11,0,789,225
7500,1,,54,5,3,10,12,7,,4,3,1,3,7,0,0,0,0,0,0,,11,0,1335,226
73455,0,,98,901,61,757,186,163,,1,6,5,10,3,0,1,0,0,0,0,,11,0,1614,227
64961,0,,97,382,114,276,75,124,,2,6,4,4,3,0,0,0,0,0,0,,11,0,191,228
22804,1,,75,14,1,7,2,1,,1,2,0,2,9,0,0,0,0,0,0,,11,0,1590,229
73687,0,,8,559,153,503,218,13,,1,3,9,9,2,0,0,0,1,0,0,,11,1,707,230
61074,0,,37,789,0,133,0,28,,7,11,5,8,7,0,0,0,0,0,0,,11,0,679,231
31686,1,,31,11,0,5,0,0,,2,1,0,3,6,0,0,0,0,0,0,,11,0,14,232
80134,1,,40,1218,16,272,104,0,,2,5,3,6,6,0,1,1,1,0,0,,11,1,1750,233
75027,0,,74,925,64,179,133,12,,2,9,4,6,5,0,0,0,0,0,0,,11,0,1851,234
67546,0,,90,864,134,768,150,38,,1,4,10,5,3,0,0,0,0,0,0,,11,0,566,235
65176,0,,57,960,28,183,220,70,,4,9,6,6,6,0,0,0,0,0,0,,11,0,382,236
31160,1,,59,16,3,25,6,1,,2,2,0,3,8,0,0,0,0,0,0,,11,0,1720,237
29938,1,,52,3,3,7,0,2,,2,1,0,3,6,0,0,0,0,0,0,,11,0,235,238
102692,0,,5,168,148,444,32,172,,1,6,9,13,2,0,1,1,1,1,0,,11,1,908,239
26490,0,,92,45,47,52,21,20,,2,3,1,5,6,0,0,0,0,0,0,,11,0,1785,240
75702,1,,77,650,28,353,45,42,30,,4,6,11,8,0,0,0,0,0,0,,11,0,817,241
30899,1,,35,24,0,8,0,0,1,,1,0,3,6,0,0,0,0,0,0,,11,0,531,242
63342,0,,48,918,21,118,13,10,21,,8,3,5,6,0,1,0,0,0,0,,11,0,1637,243
45989,0,,97,138,33,87,28,24,12,,3,2,7,3,0,0,0,0,0,0,,11,0,196,244
18701,1,,95,12,4,2,10,6,10,,2,0,4,5,0,0,0,0,0,0,,11,0,330,245
40737,2,,24,11,0,4,0,0,2,,1,0,2,8,0,0,0,0,0,0,,11,0,1193,246
15287,1,,60,1,2,8,4,3,13,,1,1,2,7,1,0,0,0,0,0,,11,1,469,247
69674,0,,46,554,41,215,11,0,24,,10,2,10,5,0,0,0,0,0,0,,11,0,147,248
44159,1,,85,167,2,62,24,13,7,,4,1,6,5,0,0,0,0,0,0,,11,0,2151,249
37717,1,0,,9,0,6,4,1,5,,1,0,2,9,0,0,0,0,0,0,,11,0,1653,250
43776,1,1,,177,2,71,3,2,20,,5,2,4,8,0,0,0,0,0,0,,11,1,1117,251
38179,1,1,,38,4,22,4,2,20,,3,1,3,7,0,0,0,0,0,0,,11,0,2062,252
80124,0,0,,483,84,398,205,84,241,,3,7,8,1,1,0,0,0,0,0,3,,0,920,253
38097,1,1,,77,2,35,0,1,69,,3,2,2,7,1,0,0,0,0,0,3,,1,230,254
72940,0,0,,182,74,298,162,149,116,,3,3,6,1,0,0,0,0,0,0,3,,0,1354,255
22070,1,0,,10,7,19,8,2,21,,2,2,2,6,0,0,0,0,0,0,3,,0,147,256
69267,0,0,,778,44,499,95,73,146,,3,4,5,7,0,0,0,0,0,0,3,,1,341,257
31788,1,0,,16,7,23,0,8,6,,3,0,4,5,0,0,0,0,0,1,3,,0,162,258
61905,0,1,,167,0,43,6,2,13,,4,2,4,5,0,0,0,0,0,0,3,,0,1027,259
29315,1,1,,13,2,14,8,7,4,,2,0,4,6,0,0,0,0,0,0,3,,0,1271,260
33378,1,1,,33,6,40,3,7,10,,2,0,4,7,0,0,0,0,0,0,3,,0,2040,261
66313,0,1,,625,7,99,10,22,7,,6,3,12,4,0,0,0,0,0,0,3,,0,2148,262
60714,0,0,,216,162,224,101,92,162,,7,4,10,5,0,0,0,0,0,0,3,,1,373,263
77882,0,0,,68,129,396,188,22,15,,3,3,5,1,0,0,0,0,0,0,3,,0,1339,264
69867,0,0,,196,0,512,33,130,54,,3,5,8,1,0,0,0,1,0,0,3,,1,794,265
63841,0,1,,635,15,100,20,7,131,,9,3,9,6,0,0,0,0,0,0,3,,0,769,266
24480,1,0,,4,19,9,28,25,17,,3,0,4,7,0,0,0,0,0,0,3,,0,85,267
